y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
1.0610e-01   4.9250e-05   8.5720e-04   9.1901e-06   4.3110e+175   3.5938e+247   2.2720e+175   4.2327e+252   4.7659e+175   2.5845e-06   9.1375e-04   
1.1905e-01   6.5440e-05   1.2504e-03   6.6094e-06   4.3064e+175   3.5900e+247   2.2695e+175   4.2451e+252   4.7608e+175   2.1097e-317   1.3180e-03   
1.3357e-01   4.2083e-05   1.6363e-03   8.1683e-06   4.2999e+175   3.5846e+247   2.2661e+175   4.2387e+252   4.7536e+175   4.9039e-06   1.6870e-03   
1.4987e-01   5.6083e-05   2.3069e-03   1.4775e-05   4.3045e+175   3.5884e+247   2.2685e+175   4.2432e+252   4.7587e+175   1.9559e-07   2.3735e-03   
1.6816e-01   9.3663e-05   3.2782e-03   1.5052e-05   6.2290e-27   4.5160e-06   6.2220e-27   4.5160e-06   6.2045e-27   1.0842e-05   3.3842e-03   
1.8868e-01   9.6362e-05   4.3341e-03   1.8181e-05   6.0412e-27   4.5179e-06   5.9798e-27   4.5179e-06   5.8396e-27   7.9052e-06   4.4430e-03   
2.1170e-01   1.0204e-04   5.9197e-03   1.4060e-05   4.9745e-27   4.5150e-06   4.8225e-27   4.5151e-06   4.6801e-27   7.9376e-06   6.0302e-03   
2.3753e-01   1.5934e-04   8.6655e-03   3.0011e-05   4.3203e-27   4.5224e-06   4.2173e-27   4.5224e-06   4.1233e-27   4.5225e-06   8.8458e-03   
2.6651e-01   1.8511e-04   1.1372e-02   4.2946e-05   3.8848e-27   4.5195e-06   3.8195e-27   4.5195e-06   3.7599e-27   4.5196e-06   1.1591e-02   
2.9903e-01   2.1040e-04   1.6189e-02   7.6931e-05   3.6094e-27   4.5195e-06   3.5287e-27   4.5196e-06   3.4602e-27   4.5197e-06   1.6467e-02   
3.3552e-01   3.6449e-04   2.2714e-02   8.3060e-05   3.2881e-27   4.5193e-06   3.2370e-27   4.5195e-06   3.1949e-27   4.5197e-06   2.3152e-02   
3.7646e-01   4.7831e-04   3.0991e-02   5.5197e-05   3.0724e-27   4.5230e-06   3.0397e-27   4.5234e-06   3.0139e-27   7.8970e-06   3.1519e-02   
4.2240e-01   6.9092e-04   4.2945e-02   1.4062e-04   2.9511e-27   4.5268e-06   2.9511e-27   4.5278e-06   2.9324e-27   7.0648e-06   4.3770e-02   
4.7394e-01   9.8404e-04   5.9526e-02   1.8682e-04   2.9151e-27   4.5270e-06   2.9227e-27   4.5271e-06   2.9327e-27   1.0534e-05   6.0694e-02   
5.3176e-01   1.3476e-03   8.0146e-02   2.4857e-04   2.9850e-27   4.5263e-06   3.0081e-27   4.5264e-06   3.0388e-27   9.1580e-06   8.1738e-02   
5.9665e-01   1.9483e-03   1.0747e-01   3.6099e-04   3.1486e-27   4.5292e-06   3.1827e-27   4.5293e-06   3.2233e-27   4.5293e-06   1.0977e-01   
6.6945e-01   2.6479e-03   1.4074e-01   4.4972e-04   3.3659e-27   4.5314e-06   3.4031e-27   4.5314e-06   3.4442e-27   4.5314e-06   1.4383e-01   
7.5114e-01   3.8595e-03   1.8032e-01   5.8713e-04   3.5958e-27   4.5321e-06   3.6570e-27   4.5321e-06   3.7246e-27   4.5321e-06   1.8476e-01   
8.4279e-01   5.7293e-03   2.2511e-01   7.3069e-04   3.9705e-27   4.5333e-06   4.0672e-27   4.5333e-06   4.1710e-27   4.5333e-06   2.3156e-01   
9.4563e-01   8.5230e-03   2.7381e-01   1.1103e-03   4.7754e-27   4.5354e-06   4.8765e-27   4.5354e-06   4.9617e-27   4.8760e-06   2.8343e-01   
1.0610e+00   1.1275e-02   3.2021e-01   1.3236e-03   5.0741e-27   4.5348e-06   5.0767e-27   4.5348e-06   5.0723e-27   4.5348e-06   3.3280e-01   
1.1905e+00   1.7709e-02   3.6263e-01   1.8065e-03   4.9176e-27   4.5362e-06   4.8282e-27   4.5362e-06   2.4703e-323   6.3783e-06   3.8214e-01   
1.3357e+00   2.5483e-02   3.9531e-01   1.8668e-03   4.1843e-27   4.5385e-06   4.0933e-27   4.5385e-06   4.0085e-27   4.5385e-06   4.2265e-01   
1.4987e+00   3.9638e-02   4.1521e-01   2.4938e-03   3.7931e-27   4.5398e-06   3.7326e-27   4.5398e-06   3.6772e-27   4.5398e-06   4.5734e-01   
1.6816e+00   5.4614e-02   4.2348e-01   2.8962e-03   3.5005e-27   4.5414e-06   3.4324e-27   4.5414e-06   3.3750e-27   4.5415e-06   4.8098e-01   
1.8868e+00   7.1213e-02   4.1089e-01   3.2001e-03   3.2333e-27   4.5420e-06   3.1916e-27   4.5420e-06   3.1475e-27   4.5421e-06   4.8529e-01   
2.1170e+00   9.0570e-02   3.8536e-01   3.6927e-03   3.0545e-27   4.5457e-06   3.0252e-27   4.5458e-06   3.0017e-27   4.5460e-06   4.7961e-01   
2.3753e+00   1.0607e-01   3.5015e-01   3.7312e-03   2.9644e-323   4.5470e-06   2.9300e-27   4.5477e-06   2.9173e-27   4.5483e-06   4.5995e-01   
2.6651e+00   1.1915e-01   3.0928e-01   3.6415e-03   2.8896e-27   4.5518e-06   2.8888e-27   4.5536e-06   2.8803e-27   4.5545e-06   4.3206e-01   
2.9903e+00   1.2806e-01   2.7338e-01   3.9907e-03   2.8687e-27   4.5557e-06   2.8665e-27   4.5557e-06   2.8695e-27   4.5557e-06   4.0542e-01   
3.3552e+00   1.3231e-01   2.3681e-01   3.9019e-03   2.8995e-27   4.5562e-06   2.9134e-27   4.5562e-06   2.9334e-27   4.5562e-06   3.7301e-01   
3.7646e+00   1.3564e-01   2.0859e-01   4.5791e-03   3.0345e-27   4.5559e-06   3.1191e-27   4.5559e-06   3.1397e-27   4.5559e-06   3.4880e-01   
4.2240e+00   1.3671e-01   1.8616e-01   4.7967e-03   3.1584e-27   4.5576e-06   3.1455e-27   4.5576e-06   3.1110e-27   4.5576e-06   3.2766e-01   
4.7394e+00   1.3263e-01   1.5797e-01   4.9381e-03   2.9910e-27   4.5551e-06   2.9671e-27   4.5551e-06   2.9476e-27   4.5551e-06   2.9553e-01   
5.3176e+00   1.2167e-01   1.4049e-01   4.2421e-03   2.9063e-27   4.5605e-06   2.8962e-27   4.5605e-06   2.8886e-27   4.5606e-06   2.6639e-01   
5.9665e+00   1.1033e-01   1.1825e-01   4.3788e-03   2.8667e-27   4.5593e-06   2.8535e-27   4.5607e-06   2.8408e-27   4.5609e-06   2.3295e-01   
6.6945e+00   9.1593e-02   1.0012e-01   4.2970e-03   2.8060e-27   4.5656e-06   2.8012e-27   4.5659e-06   2.8005e-27   4.5663e-06   1.9600e-01   
7.5114e+00   7.1074e-02   8.6404e-02   4.7939e-03   2.8113e-27   4.5749e-06   2.8170e-27   4.5751e-06   2.8224e-27   4.5752e-06   1.6226e-01   
8.4279e+00   5.3193e-02   7.6938e-02   3.9563e-03   2.8468e-27   4.5696e-06   2.8538e-27   4.5697e-06   2.8618e-27   4.5697e-06   1.3408e-01   
9.4563e+00   3.8630e-02   6.5529e-02   3.6110e-03   2.8915e-27   4.5684e-06   2.9044e-27   4.5685e-06   2.9190e-27   4.5685e-06   1.0776e-01   
1.0610e+01   2.6621e-02   5.3605e-02   3.3203e-03   2.9788e-27   4.5744e-06   3.0027e-27   4.5745e-06   3.0297e-27   4.5745e-06   8.3537e-02   
1.1905e+01   1.8018e-02   4.3469e-02   3.2972e-03   3.1348e-27   4.5747e-06   3.1567e-27   4.5748e-06   3.1800e-27   4.5748e-06   6.4775e-02   
1.3357e+01   1.4539e-02   4.2435e-02   2.8386e-03   3.2539e-27   4.5664e-06   3.2842e-27   4.5665e-06   3.3167e-27   4.5665e-06   5.9803e-02   
1.4987e+01   1.1783e-02   3.8059e-02   3.6308e-03   3.4330e-27   4.5728e-06   3.4756e-27   4.5729e-06   3.5212e-27   4.5729e-06   5.3464e-02   
1.6816e+01   9.0174e-03   3.3247e-02   2.4294e-03   1.5507e-04   4.5703e-06   3.7365e-27   4.5704e-06   3.8008e-27   4.5704e-06   4.4839e-02   
1.8868e+01   7.0963e-03   2.5529e-02   2.3978e-03   4.0155e-27   4.5629e-06   4.0996e-27   4.5630e-06   4.1895e-27   4.5630e-06   3.5014e-02   
